,Trip ID,Dte Start,Dte End,Battery At Start,Battery At End,Dw Updated,Trip Approved Kilometer,Diff in bat,Diff in Dte
581,2488269.0,206,128,77,60,2024-01-28T23:48:18,26.1000003814697,17,78
583,2489959.0,166,129,83,71,2024-02-08T12:45:52,22.4,12,37
585,2489730.0,145,119,73,59,2024-02-08T12:45:52,24.4,14,26
588,2491243.0,159,106,67,49,2024-02-08T12:45:52,34.9000015258789,18,53
589,2491938.0,208,173,90,84,2024-02-08T12:45:52,13.8,6,35
590,2491633.0,155,110,75,58,2024-02-08T12:45:52,29.1,17,45
592,2493402.0,249,189,89,80,2024-01-29T00:20:38,18.0,9,60
595,2494460.0,143,104,65,49,2024-02-08T12:45:52,34.4000015258789,16,39
597,2494169.0,217,190,95,89,2024-02-08T12:45:52,11.5,6,27
598,2494274.0,160,136,80,72,2024-02-08T12:45:52,18.8999996185302,8,24
599,2494699.0,132,99,65,45,2024-02-08T12:45:52,39.5,20,33
600,2495940.0,142,97,70,50,2024-02-08T18:45:51,32.5,20,45
601,2496416.0,214,176,95,84,2024-02-08T18:45:51,21.2999992370605,11,38
602,2495555.0,130,95,66,48,2024-02-08T18:45:51,28.2999992370605,18,35
605,2497021.0,172,126,79,61,2024-02-09T08:00:09,32.0,18,46
607,2497412.0,119,87,60,47,2024-02-09T08:00:09,19.1000003814697,13,32
609,2402765.0,177,143,79,59,2023-11-17T13:18:45,34.599998474121,20,34
620,2414946.0,136,108,67,57,2023-11-21T04:43:34,28.8999996185302,10,28
625,2418999.0,182,157,87,80,2023-11-21T04:43:34,36.2000007629394,7,25
628,2419792.0,189,167,87,77,2023-11-21T04:43:34,53.7000007629394,10,22
639,2426429.0,199,181,94,86,2023-11-22T19:48:50,27.7000007629394,8,18
640,2425980.0,172,147,83,70,2023-11-22T19:48:50,35.099998474121,13,25
642,2429017.0,88,76,50,41,2023-11-23T01:48:49,32.7000007629394,9,12
667,2444608.0,227,169,99,88,2023-12-20T03:15:21,50.9000015258789,11,58
673,2448200.0,114,113,59,51,2023-12-19T21:15:22,33.8,8,1
678,2449622.0,172,171,88,79,2023-12-19T21:15:22,18.3,9,1
679,2451617.0,174,169,79,73,2023-12-19T21:15:22,28.0,6,5
683,2452261.0,161,140,68,62,2023-12-19T21:15:22,30.4,6,21
684,2454014.0,216,183,87,79,2023-12-19T21:15:22,37.7,8,33
687,2454878.0,192,166,91,81,2023-12-19T21:15:22,31.2,10,26
700,2460686.0,219,182,89,75,2023-12-27T01:31:16,31.5,14,37
704,2461291.0,134,72,65,37,2023-12-27T01:31:16,29.6,28,62
708,2466456.0,228,193,86,75,2024-01-28T23:48:18,49.9000015258789,11,35
711,2464753.0,154,135,66,52,2024-01-28T23:48:18,26.2000007629394,14,19
713,2468055.0,119,78,63,41,2024-01-28T23:48:18,32.8,22,41
716,2468498.0,155,97,65,49,2024-01-28T23:48:18,28.8,16,58
719,2469312.0,175,171,91,78,2024-01-28T23:48:18,29.7,13,4
720,2468876.0,146,80,67,41,2024-01-28T23:48:18,37.7,26,66
